id,clean_title,author,publisher,year,language,category,tags,description,table_of_contents,cover_image_url,preview_page_count,preview_base_url,access_required,access_url,copyright_status,can_public_download
cdl-002697,丁道尔新约注释：教牧书信,,,,中文,bible-study,新约;注释,,,,5,,true,,待核实,false
cdl-002695,丁道尔新约注释：歌罗西书、腓利门书,,,,中文,bible-study,新约;注释;歌罗西,,,,5,,true,,待核实,false
cdl-002702,丁道尔新约注释：约翰书信,,,,中文,bible-study,新约;注释,,,,5,,true,,待核实,false
cdl-002689,丁道尔新约注释：罗马书,,,,中文,bible-study,新约;注释;罗马书,,,,5,,true,,待核实,false
cdl-002694,丁道尔新约注释：腓力比书,,,,中文,bible-study,新约;注释,,,,5,,true,,待核实,false
cdl-002696,丁道尔新约注释：贴撒罗尼迦前后书,,,,中文,bible-study,新约;注释,,,,5,,true,,待核实,false
cdl-002687,丁道尔新约注释：路加福音1,,,,中文,bible-study,新约;注释;路加福音,,,,5,,true,,待核实,false
cdl-002699,丁道尔新约注释：雅各书,,,,中文,bible-study,新约;注释;雅各书,,,,5,,true,,待核实,false
cdl-002686,丁道尔新约注释：马可福音,,,,中文,bible-study,新约;注释;马可福音,,,,5,,true,,待核实,false
cdl-002685,丁道尔新约注释：马太福音,,,,中文,bible-study,新约;注释;马太福音,,,,5,,true,,待核实,false
cdl-002712,丁道尔旧约圣经注释：以斯帖记,,,,中文,bible-study,圣经;旧约;注释,,,,5,,true,,待核实,false
cdl-002713,丁道尔旧约圣经注释：以斯帖记,,,,中文,bible-study,圣经;旧约;注释,,,,5,,true,,待核实,false
cdl-002727,丁道尔旧约注释：以斯帖记,,,,中文,bible-study,旧约;注释;以斯帖,,,,5,,true,,待核实,false
cdl-002726,丁道尔旧约注释：以斯拉记，尼西米记,,,,中文,bible-study,旧约;注释;以斯拉,,,,5,,true,,待核实,false
cdl-002736,丁道尔旧约注释：以西结书,,,,中文,bible-study,旧约;注释;以西结,,,,5,,true,,待核实,false
cdl-002734,丁道尔旧约注释：以赛亚书1,,,,中文,bible-study,旧约;注释;以赛亚,,,,5,,true,,待核实,false
cdl-002732,丁道尔旧约注释：传道书,,,,中文,bible-study,旧约;注释,,,,5,,true,,待核实,false
cdl-002737,丁道尔旧约注释：但以理书,,,,中文,bible-study,旧约;注释;但以理,,,,5,,true,,待核实,false
cdl-002738,丁道尔旧约注释：何西阿书,,,,中文,bible-study,旧约;注释;何西阿,,,,5,,true,,待核实,false
cdl-002740,丁道尔旧约注释：俄巴底亚，约拿，弥迦,,,,中文,bible-study,旧约;注释;俄巴底亚,,,,5,,true,,待核实,false
cdl-002715,丁道尔旧约注释：出埃及记,,,,中文,bible-study,旧约;注释;出埃及记,,,,5,,true,,待核实,false
cdl-002723,丁道尔旧约注释：列王纪上下1,,,,中文,bible-study,旧约;注释;列王纪,,,,5,,true,,待核实,false
cdl-002714,丁道尔旧约注释：创世记,,,,中文,bible-study,旧约;注释;创世记,,,,5,,true,,待核实,false
cdl-002716,丁道尔旧约注释：利未记,,,,中文,bible-study,旧约;注释;利未记,,,,5,,true,,待核实,false
cdl-002724,丁道尔旧约注释：历代志上,,,,中文,bible-study,旧约;注释;历代志,,,,5,,true,,待核实,false
cdl-002725,丁道尔旧约注释：历代志下,,,,中文,bible-study,旧约;注释;历代志,,,,5,,true,,待核实,false
cdl-002742,丁道尔旧约注释：哈该书、撒迦利亚书、玛拉基书,,,,中文,bible-study,旧约;注释;哈该,,,,5,,true,,待核实,false
cdl-002721,丁道尔旧约注释：士师记、路得记,,,,中文,bible-study,旧约;注释;士师记,,,,5,,true,,待核实,false
cdl-002722,丁道尔旧约注释：撒母耳记上下,,,,中文,bible-study,旧约;注释;撒母耳,,,,5,,true,,待核实,false
cdl-002717,丁道尔旧约注释：民数记,,,,中文,bible-study,旧约;注释;民数记,,,,5,,true,,待核实,false
cdl-002718,丁道尔旧约注释：申命记,,,,中文,bible-study,旧约;注释;申命记,,,,5,,true,,待核实,false
cdl-002731,丁道尔旧约注释：箴言,,,,中文,bible-study,旧约;注释;箴言,,,,5,,true,,待核实,false
cdl-002719,丁道尔旧约注释：约书亚记1,,,,中文,bible-study,旧约;注释;约书亚记,,,,5,,true,,待核实,false
cdl-002720,丁道尔旧约注释：约书亚记2,,,,中文,bible-study,旧约;注释;约书亚记,,,,5,,true,,待核实,false
cdl-002728,丁道尔旧约注释：约伯记,,,,中文,bible-study,旧约;注释;约伯,,,,5,,true,,待核实,false
cdl-002739,丁道尔旧约注释：约珥书、阿摩斯书,,,,中文,bible-study,旧约;注释;约珥,,,,5,,true,,待核实,false
cdl-002735,丁道尔旧约注释：耶利米书、耶利米哀歌,,,,中文,bible-study,旧约;注释;耶利米,,,,5,,true,,待核实,false
cdl-002729,丁道尔旧约注释：诗篇上,,,,中文,bible-study,旧约;注释;诗篇,,,,5,,true,,待核实,false
cdl-002730,丁道尔旧约注释：诗篇下,,,,中文,bible-study,旧约;注释;诗篇,,,,5,,true,,待核实,false
cdl-002741,丁道尔旧约注释：那鸿书、哈巴谷书、西番雅书,,,,中文,bible-study,旧约;注释;那鸿,,,,5,,true,,待核实,false
cdl-002733,丁道尔旧约注释：雅歌,,,,中文,bible-study,旧约;注释;雅歌,,,,5,,true,,待核实,false
cdl-000033,七座山的异象,约翰尼 恩罗,,,中文,other,,,,,5,,true,,待核实,false
